Cecha: 1 	 Chi2 = 1.7623125985633417 	 P = 0.9999998801207606 
Cecha: 2 	 Chi2 = 52.168346298312485 	 P = 6.242976242688273e-05 
Cecha: 3 	 Chi2 = 3.735103501864392 	 P = 0.9999376124924066 
Cecha: 4 	 Chi2 = 112.95204710846082 	 P = 2.271528809432042e-15 
Cecha: 5 	 Chi2 = 8.078569220877426 	 P = 0.9858626913042846 
Cecha: 6 	 Chi2 = 11.920742454442108 	 P = 0.8889850974737891 
Cecha: 7 	 Chi2 = 8.003708818567706 	 P = 0.9866335247162548 
Cecha: 8 	 Chi2 = 5.867933581615914 	 P = 0.9982232240191464 
Cecha: 9 	 Chi2 = 7.077799520283073 	 P = 0.9937867493995565 
Cecha: 10 	 Chi2 = 11.062850868379167 	 P = 0.9217061924108456 
Cecha: 11 	 Chi2 = 8.301076254737337 	 P = 0.98337654173705 
Cecha: 12 	 Chi2 = 19.59769266560766 	 P = 0.41914140087618545 
Cecha: 13 	 Chi2 = 10.667800318033635 	 P = 0.9345077936696639 
Cecha: 14 	 Chi2 = 50.004023585296 	 P = 0.00013088259419864458 
Cecha: 15 	 Chi2 = 14.883924792279542 	 P = 0.7299457206833495 
Cecha: 16 	 Chi2 = 7.794623436938262 	 P = 0.9886207124274248 
Cecha: 17 	 Chi2 = 61.046858861185996 	 P = 2.6399569087600563e-06 
Cecha: 18 	 Chi2 = 41.96290891060357 	 P = 0.0017929364926522683 
Cecha: 19 	 Chi2 = 55.064337711834064 	 P = 2.2722238523834266e-05 
Cecha: 20 	 Chi2 = 10.667800318033635 	 P = 0.9345077936696639 
